Sample 1
----------------
Summary for sub_input_1.txt

Total letters: 744122

Checksum: 8970684


Letter	Count	Frequency

a	56173	0.075489

b	11750	0.015790

c	17246	0.023176

d	28155	0.037837

e	88243	0.118587

f	15415	0.020716

g	12293	0.016520

h	46694	0.062750

i	51000	0.068537

j	656	0.000882

k	5957	0.008005

l	31826	0.042770

m	22502	0.030240

n	47590	0.063955

o	62427	0.083894

p	11645	0.015649

q	661	0.000888

r	46507	0.062499

s	50260	0.067543

t	65479	0.087995

u	26704	0.035887

v	7648	0.010278

w	17323	0.023280

x	1015	0.001364

y	18655	0.025070

z	298	0.000400


Sample 2
----------------
Summary for sub_input_2.txt

Total letters: 787896

Checksum: 9382518


Letter	Count	Frequency

a	59738	0.075820

b	12620	0.016017

c	19055	0.024185

d	32561	0.041327

e	92380	0.117249

f	18746	0.023792

g	15437	0.019593

h	49780	0.063181

i	50700	0.064349

j	1228	0.001559

k	8688	0.011027

l	36570	0.046415

m	21944	0.027851

n	51421	0.065264

o	63338	0.080389

p	12209	0.015496

q	909	0.001154

r	50887	0.064586

s	49918	0.063356

t	67044	0.085092

u	25592	0.032481

v	6923	0.008787

w	19428	0.024658

x	1208	0.001533

y	19299	0.024494

z	273	0.000346


Sample 3
----------------
Summary for sub_input_3.txt

Total letters: 752459

Checksum: 8999564


Letter	Count	Frequency

a	57924	0.076980

b	12897	0.017140

c	18293	0.024311

d	29645	0.039397

e	88533	0.117658

f	16169	0.021488

g	13547	0.018004

h	46428	0.061702

i	49665	0.066004

j	945	0.001256

k	7314	0.009720

l	33404	0.044393

m	21690	0.028825

n	48448	0.064386

o	62599	0.083193

p	11435	0.015197

q	624	0.000829

r	47103	0.062599

s	49573	0.065881

t	65468	0.087005

u	26037	0.034603

v	7368	0.009792

w	17607	0.023399

x	929	0.001235

y	18472	0.024549

z	342	0.000455


Sample 4
----------------
Summary for sub_input_4.txt

Total letters: 762726

Checksum: 9102852


Letter	Count	Frequency

a	57841	0.075835

b	12943	0.016969

c	17051	0.022355

d	31203	0.040910

e	90634	0.118829

f	15758	0.020660

g	14876	0.019504

h	48186	0.063176

i	51045	0.066924

j	1101	0.001444

k	7284	0.009550

l	34654	0.045434

m	23054	0.030226

n	48291	0.063314

o	64108	0.084051

p	11106	0.014561

q	840	0.001101

r	47580	0.062382

s	48360	0.063404

t	65341	0.085668

u	25004	0.032782

v	7508	0.009844

w	17837	0.023386

x	958	0.001256

y	19778	0.025931

z	385	0.000505


Sample 5
----------------
Summary for sub_input_5.txt

Total letters: 743722

Checksum: 8971508


Letter	Count	Frequency

a	57474	0.077279

b	11746	0.015794

c	16540	0.022239

d	27898	0.037511

e	87414	0.117536

f	14428	0.019400

g	12046	0.016197

h	45780	0.061555

i	51580	0.069354

j	849	0.001142

k	6165	0.008289

l	33565	0.045131

m	22262	0.029933

n	47512	0.063884

o	62128	0.083537

p	12069	0.016228

q	548	0.000737

r	45787	0.061565

s	50878	0.068410

t	66443	0.089338

u	25610	0.034435

v	8122	0.010921

w	17195	0.023120

x	1184	0.001592

y	18166	0.024426

z	333	0.000448


